ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
03690.HK,20260417,87.5,87.9,84.6,86.5,88.75,-2.25,-2.54,46743644.0,4043325206.0
03690.HK,20260420,85.85,85.95,84.35,85.15,86.5,-1.35,-1.56,36368973.0,3096818106.445
03690.HK,20260421,85.8,87.2,84.65,86.45,85.15,1.3,1.53,24682917.0,2133838099.324
03690.HK,20260422,85.2,85.3,83.8,84.25,86.45,-2.2,-2.54,31118161.0,2621705064.25
03690.HK,20260423,84.0,84.2,82.35,83.1,84.25,-1.15,-1.36,27552166.0,2289584952.559
03690.HK,20260424,83.0,83.5,81.7,82.45,83.1,-0.65,-0.78,36155043.0,2980983185.014
03690.HK,20260427,82.45,82.45,80.4,81.85,82.45,-0.6,-0.73,39390929.0,3224147478.544
03690.HK,20260428,80.85,81.65,80.2,80.3,81.85,-1.55,-1.89,33674973.0,2704100434.668
03690.HK,20260429,81.45,84.15,80.65,83.15,80.3,2.85,3.55,45687332.0,3798901725.513
03690.HK,20260430,81.9,84.5,81.25,83.25,83.15,0.1,0.12,45918845.0,3822743846.25
03690.HK,20260504,84.0,86.8,83.65,84.45,83.25,1.2,1.44,16917991.0,1428724288.32
03690.HK,20260505,83.6,83.95,82.2,83.55,84.45,-0.9,-1.07,10874630.0,908575369.687
03690.HK,20260506,83.95,84.55,82.15,82.5,83.55,-1.05,-1.26,38773772.0,3198836190.0
03690.HK,20260507,84.5,85.3,83.8,84.25,82.5,1.75,2.12,41734088.0,3516096914.0
03690.HK,20260508,83.6,84.7,83.2,84.05,84.25,-0.2,-0.24,24167472.0,2031276095.353
03690.HK,20260511,83.1,84.8,82.4,84.35,84.05,0.3,0.36,29716251.0,2506565726.507
03690.HK,20260512,83.9,85.65,83.75,84.15,84.35,-0.2,-0.24,25067034.0,2109390949.349
03690.HK,20260513,84.7,88.95,84.2,87.6,84.15,3.45,4.1,63062497.0,5524274640.974
03690.HK,20260514,91.05,91.35,85.6,85.7,87.6,-1.9,-2.17,56592595.0,4849985218.793
03690.HK,20260515,84.5,85.5,82.25,82.7,85.7,-3.0,-3.5,41139543.0,3402240080.552
03690.HK,20260518,82.2,82.7,81.05,82.15,82.7,-0.55,-0.67,41351975.0,3397064809.348
03690.HK,20260519,81.55,84.0,81.25,83.05,82.15,0.9,1.1,30801678.0,2558079451.899
03690.HK,20260520,83.0,83.7,82.1,82.85,83.05,-0.2,-0.24,25163892.0,2084828413.803
03690.HK,20260521,84.2,86.85,82.1,82.1,82.85,-0.75,-0.91,45111086.0,3703620091.766
03690.HK,20260522,83.1,83.1,80.55,81.35,82.1,-0.75,-0.91,39784370.0,3236458438.794
03690.HK,20260526,79.95,80.5,77.0,78.8,81.35,-2.55,-3.13,67357066.0,5307737006.357
03690.HK,20260527,78.3,79.0,77.3,77.7,78.8,-1.1,-1.4,34078568.0,2647904629.6
03690.HK,20260528,77.2,77.3,72.25,73.3,77.7,-4.4,-5.66,94713412.0,6942493388.642
03690.HK,20260529,73.6,76.1,72.35,73.45,73.3,0.15,0.2,81724196.0,6002641946.798
03690.HK,20260601,75.2,79.35,74.4,78.25,73.45,4.8,6.54,72625452.0,5682941619.0
03690.HK,20260602,79.3,85.75,79.0,85.5,78.25,7.25,9.27,136662320.0,11684628360.0
03690.HK,20260603,85.7,85.75,79.65,80.4,85.5,-5.1,-5.96,83942077.0,6748943118.885
03690.HK,20260604,79.7,80.0,77.9,78.6,80.4,-1.8,-2.24,43047835.0,3383559765.314
03690.HK,20260605,79.0,80.3,77.7,79.95,78.6,1.35,1.72,57489919.0,4596318848.605
03690.HK,20260608,77.3,77.75,75.1,76.25,79.95,-3.7,-4.63,63060620.0,4808372275.0
03690.HK,20260609,76.25,78.3,75.5,77.2,76.25,0.95,1.25,34253879.0,2644399354.265
03690.HK,20260610,77.1,80.45,76.45,79.0,77.2,1.8,2.33,56328337.0,4449938623.0
03690.HK,20260611,78.8,80.1,77.1,78.1,79.0,-0.9,-1.14,34922354.0,2727435794.113
03690.HK,20260612,78.1,78.4,75.7,77.9,78.1,-0.2,-0.26,47407244.0,3693024379.938
03690.HK,20260615,79.5,79.65,77.1,78.25,77.9,0.35,0.45,24420087.0,1910871807.75
03690.HK,20260616,76.95,77.55,74.85,75.3,78.25,-2.95,-3.77,40104507.0,3019869499.489
03690.HK,20260617,75.0,75.95,73.8,74.4,75.3,-0.9,-1.2,22507016.0,1674522024.743
03690.HK,20260618,75.1,76.25,71.1,71.8,74.4,-2.6,-3.49,68421090.0,4912634470.805
03690.HK,20260622,72.2,73.2,69.5,72.0,71.8,0.2,0.28,57148117.0,4114664424.0
03690.HK,20260623,72.7,72.7,69.2,69.6,72.0,-2.4,-3.33,33267703.0,2315432078.038
03690.HK,20260624,69.3,70.0,67.2,67.75,69.6,-1.85,-2.66,53080662.0,3596214850.5
03690.HK,20260625,67.35,67.35,64.75,66.1,67.75,-1.65,-2.44,63246385.0,4180585951.994
03690.HK,20260626,65.75,68.35,63.65,64.25,66.1,-1.85,-2.8,84453570.0,5426141872.5
03690.HK,20260629,66.5,69.45,66.15,67.65,64.25,3.4,5.29,79469292.0,5376097725.061
03690.HK,20260630,68.5,69.45,67.2,68.5,67.65,0.85,1.26,65133829.0,4461667286.5
03690.HK,20260702,69.85,73.65,69.45,70.85,68.5,2.35,3.43,68122830.0,4826502401.553
03690.HK,20260703,71.35,72.65,70.4,71.6,70.85,0.75,1.06,33741448.0,2415887625.315
